3O3;303 PROJECT;CTM;USA;AME
7RP;7ELEVEN CLIQQ - AIR21 BY ROADBIKE PHILIPPINES;CTM;PHI;ASI
ACS;AC SPARTA PRAHA;CTM;CZE;EUR
ADR;ADRIA MOBIL;CTM;SLO;EUR
AEV;AEVOLO;CTM;USA;AME
AIS;AISAN RACING TEAM;CTM;JPN;ASI
AKT;AKROS - THÖMUS ;CTM;SUI;EUR
ALE;ALECTO CYCLINGTEAM;CTM;NED;EUR
AMO;AMORE & VITA - PRODIR;CTM;LAT;EUR
APL;APPLE TEAM;CTM;KAZ;ASI
AHB;ARAPAHOE | HINCAPIE POWERED BY BMC;CTM;USA;AME
ACM;"ASOCIACION CIVIL ""MARDAN""";CTM;ARG;AME
AVF;ASOCIACIÓN CIVIL AGRUPACIÓN VIRGEN DE FATIMA;CTM;ARG;AME
TSE;ASTANA CITY;CTM;KAZ;ASI
AVL;AVILUDO - LOULETANO;CTM;POR;EUR
BSP;BAI SICASAL PETRO DE LUANDA;CTM;ANG;AFR
BRT;BEAT CYCLING CLUB;CTM;NED;EUR
BHP;BELTRAMITSA HOPPLA' PETROLI FIRENZE;CTM;ITA;EUR
BEX;BENEDICTION EXCEL ENERGY;CTM;RWA;AFR
BET;BETPLAY CYCLING TEAM;CTM;COL;AME
ABB;BHS - ALMEBORG BORNHOLM;CTM;DEN;EUR
BIC;BIESSE CARRERA;CTM;ITA;EUR
BAI;BIKE AID ;CTM;GER;EUR
BRC;BRUNEI CONTINENTAL CYCLING TEAM;CTM;BRU;ASI
CAS;CANEL'S - SPECIALIZED;CTM;MEX;AME
DHB;CANYON DHB P /   B BLOOR HOMES;CTM;GBR;EUR
CDT;CCC DEVELOPMENT TEAM;CTM;POL;EUR
GCB;CHINA CONTINENTAL TEAM OF GANSU BANK;CTM;CHN;ASI
CIB;CIBEL;CTM;BEL;EUR
CBS;COLDEPORTES BICICLETAS STRONGMAN;CTM;COL;AME
ECZ;COLDEPORTES ZENU ;CTM;COL;AME
CCI;CUSTOMS CYCLING INDONESIA;CTM;INA;ASI
CTF;CYCLING TEAM FRIULI ASD;CTM;ITA;EUR
AZT;D'AMICO UM TOOLS;CTM;ITA;EUR
DCB;DC BANK PRO CYCLING TEAM;CTM;CAN;AME
DPA;DEPRISA TEAM;CTM;BOL;AME
DSU;DEVELOPMENT TEAM SUNWEB;CTM;GER;EUR
DDC;DIMENSION DATA FOR QHUBEKA CONTINENTAL TEAM ;CTM;ITA;EUR
DCC;DRAPAC CANNONDALE HOLISTIC DEVELOPMENT TEAM;CTM;AUS;OCE
DKB;DUKLA BANSKA BYSTRICA;CTM;SVK;EUR
EFP;EFAPEL;CTM;POR;EUR
ELV;ELEVATE - KHS PRO CYCLING;CTM;USA;AME
ELA;ELKOV - AUTHOR;CTM;CZE;EUR
EPM;EPM;CTM;COL;AME
EMP;EQUIPO CONTINENTAL MUNICIPALIDAD DE POCITO;CTM;ARG;AME
EOP;EQUIPO CONTINENTAL ORGULLO PAISA;CTM;COL;AME
EUK;EQUIPO EUSKADI;CTM;ESP;EUR
EVO;EVOPRO RACING;CTM;IRL;EUR
DFT;FENGSHENG SPORTS DFT TEAM;CTM;IRI;ASI
FCT;FEREI PRO CYCLING TEAM;CTM;UKR;EUR
FPC;FLOYD'S PRO CYCLING;CTM;CAN;AME
FSC;FOOLAD MOBARAKEH SEPAHAN;CTM;IRI;ASI
FMP;FUTURO - MAXXIS PRO CYCLING ;CTM;AUS;OCE
GPC;GAPYEONG CYCLING TEAM;CTM;KOR;ASI
GIC;GEUMSAN INSAM CELLO;CTM;KOR;ASI
MSS;GIANT CYCLING TEAM;CTM;CHN;ASI
GTV;GIOTTI VICTORIA;CTM;ROU;EUR
G4G;GO FOR GOLD PHILIPPINES;CTM;PHI;ASI
CGF;GROUPAMA - FDJ;CTM;FRA;EUR
GUE;GUERCIOTTI -KIWI ATLANTICO;CTM;GBS;AFR
GWS;GW SHIMANO;CTM;COL;AME
HRN;HEIZOMAT RAD - NET.DE;CTM;GER;EUR
HEN;HENGXIANG CYCLING TEAM;CTM;CHN;ASI
HRR;HERRMANN RADTEAM;CTM;GER;EUR
HKS;HKSI PRO CYCLING TEAM;CTM;HKG;ASI
HAC;HRINKOW ADVARICS CYCLEANG ;CTM;AUT;EUR
THU;HUROM BDC DEVELOPMENT;CTM;POL;EUR
IAM;IAM EXCELSIOR;CTM;SUI;EUR
DCT;INTEJA IMCA - RIDEA DCT;CTM;DOM;AME
IPC;INTERPRO CYCLING ACADEMY;CTM;JPN;ASI
IRC;ISEO SERRATURE - RIME - CARNOVALI;CTM;ITA;EUR
JLC;JILUN CYCLING TEAM;CTM;CHN;ASI
JFN;JOKER FUEL OF NORWAY;CTM;NOR;EUR
KFC;KFC CYCLING TEAM;CTM;INA;ASI
KIN;KINAN CYCLING TEAM;CTM;JPN;ASI
KMT;KOMETA CYCLING TEAM;CTM;ESP;EUR
KCT;KORAIL CYCLING TEAM;CTM;KOR;ASI
KSP;KSPO BIANCHI ASIA PRO CYCLING;CTM;KOR;ASI
KBS;KUNBAO SPORT CONTINENTAL CYCLING TEAM;CTM;CHN;ASI
TKC;KYIV CAPITAL TEAM;CTM;UKR;EUR
LAA;L. A. ALUMINIOS / L. A. SPORT;CTM;POR;EUR
LPC;LEOPARD PRO CYCLING;CTM;LUX;EUR
LGS;LJUBLJANA GUSTO SANTIC;CTM;SLO;EUR
LKT;LKT TEAM BRANDENBURG;CTM;GER;EUR
LOK;LOKOSPHINX;CTM;RUS;EUR
LCT;LVIV CYCLING TEAM;CTM;UKR;EUR
LXC;LX CYCLING TEAM;CTM;KOR;ASI
MGT;MADISON GENESIS;CTM;GBR;EUR
MPB;MALOJA PUSHBIKERS;CTM;AUT;EUR
VIV;MASSI VIVO - GRUPO ORESY;CTM;PAR;AME
MTR;MATRIX POWERTAG;CTM;JPN;ASI
MED;MEDELLIN;CTM;COL;AME
MPC;MEMIL PRO CYCLING;CTM;SWE;EUR
MKT;MERIDIANA KAMEN TEAM;CTM;CRO;EUR
MET;METEC - TKH CONTINENTAL CYCLINGTEAM P / B MANTEL;CTM;NED;EUR
MCC;MINSK CYCLING CLUB;CTM;BLR;EUR
MIR;MIRANDA -  MORTÁGUA;CTM;POR;EUR
MBE;MITCHELTON - BIKEEXCHANGE;CTM;CHN;ASI
MTA;MONKEY TOWN - A BLOCK CT;CTM;NED;EUR
MTE;MOVISTAR TEAM ECUADOR;CTM;ECU;AME
MRW;MUNICIPALIDAD DE RAWSON;CTM;ARG;AME
NAS;NASU BLASEN;CTM;JPN;ASI
NRL;NATURA4EVER - ROUBAIX - LILLE METROPOLE;CTM;FRA;EUR
NLC;NINGXIA SPORTS LOTTERY LIVALL GUSTO;CTM;CHN;ASI
OLI;OLIVER'S REAL FOOD RACING;CTM;AUS;OCE
OMT;OMIDNIA MASHHAD TEAM;CTM;IRI;ASI
PUS;P & S METALLTECHNIK ;CTM;GER;EUR
PNN;PANNON CYCLING TEAM;CTM;HUN;EUR
PSB;PAUWELS SAUZEN – BINGOAL;CTM;BEL;EUR
PGN;PGN ROAD CYCLING TEAM;CTM;INA;ASI
ACA;PRO RACING SUNSHINE COAST;CTM;AUS;OCE
PCD;PROBACLAC / DEVINCI;CTM;CAN;AME
PRO;PROTOUCH ;CTM;RSA;AFR
RPB;RADIO POPULAR - BOAVISTA;CTM;POR;EUR
RPC;RIBBLE PRO CYCLING;CTM;GBR;EUR
SBB;SALCANO SAKARYA BB TEAM;CTM;TUR;EUR
SAN;SANGEMINI - TREVIGIANI - MG.K VIS;CTM;ITA;EUR
SFS;SÃO FRANCISCO SAÚDE / KLABIN / SME RIBEIRÃO PRETO;CTM;BRA;AME
SEG;SEG RACING ACADEMY;CTM;NED;EUR
SCT;SEOUL CYCLING TEAM;CTM;KOR;ASI
XDS;SHENZHEN XIDESHENG CYCLING TEAM;CTM;CHN;ASI
SMN;SHIMANO RACING TEAM;CTM;JPN;ASI
SEP;SINDICATO  DE EMPLEADOS PUBLICOS DE SAN JUAN;CTM;ARG;AME
CCS;SOVAC;CTM;ALG;AFR
CTN;SPORT.LAND. NIEDERÖSTERREICH SELLE SMP - ST. RICH;CTM;AUT;EUR
STA;SPORTING / TAVIRA;CTM;POR;EUR
STG;ST GEORGE CONTINENTAL CYCLING TEAM;CTM;AUS;OCE
AUB;ST MICHEL - AUBER 93;CTM;FRA;EUR
STF;START CYCLING TEAM;CTM;BOL;AME
SCB;SWIFTCARBON PRO CYCLING;CTM;GBR;EUR
SRA;SWISS RACING ACADEMY;CTM;SUI;EUR
TMC;TAIYUAN MIOGEE CYCLING TEAM;CTM;CHN;ASI
TIS;TARTELETTO - ISOREX;CTM;BEL;EUR
