Team;Rider
Team INEOS;THOMAS Geraint
Team INEOS;BERNAL Egan
Team INEOS;CASTROVIEJO Jonathan
Team INEOS;KWIATKOWSKI Michał
Team INEOS;MOSCON Gianni
Team INEOS;POELS Wout
Team INEOS;ROWE Luke
Team INEOS;VAN BAARLE Dylan
BORA - hansgrohe;SAGAN Peter
BORA - hansgrohe;BUCHMANN Emanuel
BORA - hansgrohe;BURGHARDT Marcus
BORA - hansgrohe;KONRAD Patrick
BORA - hansgrohe;MÜHLBERGER Gregor
BORA - hansgrohe;OSS Daniel
BORA - hansgrohe;PÖSTLBERGER Lukas
BORA - hansgrohe;SCHACHMANN Maximilian
Deceuninck - Quick Step;ALAPHILIPPE Julian
Deceuninck - Quick Step;ASGREEN Kasper
Deceuninck - Quick Step;DEVENYNS Dries
Deceuninck - Quick Step;LAMPAERT Yves
Deceuninck - Quick Step;MAS Enric
Deceuninck - Quick Step;MØRKØV Michael
Deceuninck - Quick Step;RICHEZE Maximiliano
Deceuninck - Quick Step;VIVIANI Elia
AG2R La Mondiale;BARDET Romain
AG2R La Mondiale;CHEREL Mickaël
AG2R La Mondiale;COSNEFROY Benoît
AG2R La Mondiale;FRANK Mathias
AG2R La Mondiale;GALLOPIN Tony
AG2R La Mondiale;GOUGEARD Alexis
AG2R La Mondiale;NAESEN Oliver
AG2R La Mondiale;VUILLERMOZ Alexis
Bahrain Merida;NIBALI Vincenzo
Bahrain Merida;CARUSO Damiano
Bahrain Merida;COLBRELLI Sonny
Bahrain Merida;DENNIS Rohan
Bahrain Merida;GARCÍA CORTINA Iván
Bahrain Merida;MOHORIČ Matej
Bahrain Merida;TEUNS Dylan
Bahrain Merida;TRATNIK Jan
Groupama - FDJ;PINOT Thibaut
Groupama - FDJ;BONNET William
Groupama - FDJ;GAUDU David
Groupama - FDJ;KÜNG Stefan
Groupama - FDJ;LADAGNOUS Matthieu
Groupama - FDJ;MOLARD Rudy
Groupama - FDJ;REICHENBACH Sébastien
Groupama - FDJ;ROUX Anthony
Movistar Team;QUINTANA Nairo
Movistar Team;VALVERDE Alejandro
Movistar Team;AMADOR Andrey
Movistar Team;ERVITI Imanol
Movistar Team;LANDA Mikel
Movistar Team;OLIVEIRA Nelson
