rider
DOULL Owain
GEOGHEGAN HART Tao
GOŁAŚ Michał
KIRYIENKA Vasil
PUCCIO Salvatore
SIVAKOV Pavel
SWIFT Ben
CAVAGNA Rémi
JAKOBSEN Fabio
JUNGELS Bob
KNOX James
SABATINI Fabio
SERRY Pieter
VAKOČ Petr
ACKERMANN Pascal
BENEDETTI Cesare
BODNAR Maciej
FORMOLO Davide
MAJKA Rafał
POLJAŃSKI Paweł
SELIG Rüdiger
HOFSTEDE Lennard
GESINK Robert
POWLESS Neilson
TOLHOEK Antwan
VAN DER HOORN Taco
VAN POPPEL Danny
VINGEGAARD Jonas
CATALDO Dario
CONTRERAS Rodrigo
HIRT Jan
IZAGIRRE Ion
KUDUS Merhawi
LÓPEZ Miguel Ángel
STALNOV Nikita
CONSONNI Simone
CONTI Valerio
GAVIRIA Fernando
MORI Manuele
RAVASI Edward
PETILLI Simone
ULISSI Diego
ANACONA Winner
BETANCUR Carlos
FERNÁNDEZ Rubén
PRADES Eduard
ROJAS José Joaquín
SEPÚLVEDA Eduardo
VALLS Rafael
FENG Chun Kai
MOHORIČ Matej
NOVAK Domen
PERNSTEINER Hermann
PIBERNIK Luka
POZZOVIVO Domenico
TRATNIK Jan
ARMIRAIL Bruno
DELAGE Mickaël
FRANKINY Kilian
SARREAU Marc
SEIGLE Romain
THOMAS Benjamin
VINCENT Léo
KRAGH ANDERSEN Asbjørn
HAMILTON Chris
HINDLEY Jai
POWER Robert
KANTER Max
STORER Michael
WALSCHEID Max
BEWLEY Sam
EDMONDSON Alex
GRMAY Tsgabu
HOWSON Damien
MEZGEC Luka
NIEVE Mikel
SCHULTZ Nick
MODOLO Sacha
BROWN Nathan
HIGUITA Sergio
BENNETT Sean
OWEN Logan
VAN DEN BERG Julius
VILLALOBOS Luis
BEPPU Fumiyuki
BRAMBILLA Gianluca
CONCI Nicola
DEGENKOLB John
GOGL Michael
PEDERSEN Mads
BOUCHARD Geoffrey
CHEVRIER Clément
DILLIER Silvan
GENIEZ Alexandre
JAUREGUI Quentin
LATOUR Pierre
VENTURINI Clément
ARMÉE Sander
HAGEN Carl Fredrik
LAMBRECHT Bjorg
MARCZYŃSKI Tomasz
VANHOUCKE Harm
WALLAYS Jelle
WOUTERS Enzo
ANTUNES Amaro
GESCHKE Simon
GRADEK Kamil
MARECZKO Jakub
OWSIAN Łukasz
PAUWELS Serge
BERNAS Paweł
BATTAGLIN Enrico
FABBRO Matteo
HOLLENSTEIN Reto
KOCHETKOV Pavel
NAVARRO Daniel
ŠPILAK Simon
STRAKHOV Dmitry
CAVENDISH Mark
DE BOD Stefan
EISEL Bernhard
GASPAROTTO Enrico
MÄDER Gino
O'CONNOR Ben
VENTER Jaco
CIEŚLIK Paweł
FRANCZAK Paweł
KACZMAREK Jakub
KUREK Adrian
PATERSKI Maciej
REKITA Szymon
RUTKIEWICZ Marek
ATAPUMA Darwin
EDET Nicolas
FORTIN Filippo
HANSEN Jesper
HERRADA José
LE TURNIER Mathias
MATÉ Luis Ángel
ARSLANOV Ildar
CHERKASOV Nikolay
ROVNY Ivan
SHALUNOV Evgeny
SHILOV Sergey
STASH Mamyr
VLASOV Aleksandr
BRAND Sam
HENTTALA Joonas
KAMSTRA Brian
KUSZTOR Péter
LOZANO David
PERON Andrea
PLANET Charles
